日付,問題ID,正誤,解答時間(秒),ミスの原因,学習投入時間(分)
2025-12-09,N-D02,✕,60,-,10
2025-11-22,N-A03,✕,60,理解不足,50
2025-11-23,N-A03,✕,60,理解不足,50
2025-12-09,N-D02,✕,60,-,10
2025-11-23,N-A03,〇,60,-,50
2025-12-09,N-D03,✕,60,-,10
2025-12-09,N-A04,✕,60,-,10
2025-11-23,N-A06,〇,60,-,50
2025-12-09,N-A03,✕,60,-,10
2025-12-09,N-A06,✕,60,-,10
2025-11-24,N-A02,✕,60,時間不足,50
2025-12-09,N-A02,✕,60,-,10
2025-11-28,N-A01,✕,60,時間不足,50
2025-12-09,N-E03,✕,75,時間不足,10
2025-12-09,N-A01,✕,60,-,10
2025-12-09,N-A05,✕,60,-,10
2025-11-28,N-A05,〇,60,-,50
2025-12-09,N-E04,✕,60,-,10
2025-11-29,N-E04,〇,60,-,50
2025-12-09,N-E03,✕,60,-,10
2025-12-09,N-E01,✕,60,-,10
2025-11-29,N-E03,✕,60,時間不足,50
2025-12-09,N-E02,✕,60,-,10
2025-11-29,N-E01,✕,60,時間不足,50
2025-12-09,N-C02,✕,60,-,10
2025-11-30,N-E02,〇,60,-,50
2025-12-09,N-C01,✕,60,-,10
2025-12-09,L-B03,〇,29,-,10
2025-12-09,N-B05,✕,60,-,10
2025-12-09,N-B03,✕,60,-,10
2025-11-30,N-C02,✕,60,知識不足,50
2025-12-09,N-B04,✕,60,-,10
2025-11-30,N-C01,✕,60,知識不足,50
2025-12-09,N-B07,✕,60,-,10
2025-12-01,N-C01,〇,60,-,50
2025-12-01,N-C01,〇,60,-,50
2025-12-09,N-B01,✕,60,-,10
2025-12-01,N-C01,〇,60,-,50
2025-12-01,N-C01,〇,60,-,50
2025-12-01,N-C01,〇,60,-,50
2025-12-09,N-B02,✕,60,-,10
2025-12-01,N-C02,〇,60,-,50
2025-12-01,N-C02,〇,60,-,50
2025-12-01,N-C02,〇,60,-,50
2025-12-01,N-C02,〇,60,-,50
2025-12-01,N-C02,〇,60,-,50
2025-12-09,N-B06,✕,60,-,10
2025-12-01,N-C02,〇,60,-,50
2025-11-11,L-C02,〇,60,-,10
2025-12-09,L-A01,✕,27,理解不足,10
2025-12-03,N-B05,〇,60,-,50
2025-12-09,L-B03,〇,60,-,10
2025-12-03,N-B05,✕,60,理解不足,50
2025-10-01,L-C02,〇,60,-,10
2025-12-09,L-B02,〇,60,-,10
2025-12-05,N-B03,✕,60,理解不足,50
2025-12-09,L-B01,〇,60,-,10
2025-12-05,N-B03,✕,60,理解不足,50
2025-10-02,N-D02,〇,60,-,10
2025-12-09,L-C02,〇,60,-,10
2025-12-06,N-B04,✕,60,理解不足,50
2025-12-09,L-C01,〇,60,-,10
2025-10-03,N-D02,✕,60,時間不足,10
2025-12-09,L-A01,〇,60,-,10
2025-12-09,L-A02,〇,24,-,10
2025-12-08,N-B07,〇,60,-,50
2025-10-04,N-D01,✕,60,時間不足,10
2025-12-09,L-A02,〇,60,-,10
2025-12-09,L-A03,〇,60,-,10
2025-10-05,N-D03,✕,60,知識不足,10
2025-11-19,N-B07,〇,60,-,50
2025-11-19,N-D01,✕,60,ケアレス,50
2025-10-06,N-E03,✕,60,理解不足,10
2025-12-09,N-D01,〇,60,-,10
2025-11-19,L-C02,✕,60,ケアレス,50
2025-10-06,N-E04,〇,60,-,10
2025-12-09,N-D02,〇,60,-,10
2025-11-20,L-C01,✕,60,理解不足,50
2025-10-07,N-E04,〇,60,-,10
2025-12-09,N-D03,〇,60,-,10
2025-10-08,N-E01,〇,60,-,10
2025-12-09,N-A04,〇,60,-,10
2025-11-21,L-A02,〇,60,-,50
2025-12-09,N-A03,〇,60,-,10
2025-12-09,L-A03,〇,40,-,10
2025-12-09,N-A06,〇,60,-,10
2025-11-13,L-A01,✕,60,時間不足,50
2025-12-09,N-A02,〇,60,-,10
2025-12-09,N-A01,〇,60,-,10
2025-12-09,N-A05,〇,60,-,10
2025-11-13,L-A02,〇,60,-,50
2025-12-11,L-C02,〇,60,-,10
